CUSTOMER_ID,AGE,COUNTRY,RECORD_SOURCE,LOAD_DATETIME
C53,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C54,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C55,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C56,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C57,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C58,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C59,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C60,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C61,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C62,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C63,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C64,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C65,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C66,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C67,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C68,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C69,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C70,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C71,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C72,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C73,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C74,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C75,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C76,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C77,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C78,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C79,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C80,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C81,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C82,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C83,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C84,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C85,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C86,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C87,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C88,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C89,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C90,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C91,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C92,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C93,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C94,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C95,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C96,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C97,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C98,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C99,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C100,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C101,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C102,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C103,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C104,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C105,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C106,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C107,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C108,8,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C109,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C110,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C111,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C112,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C113,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C114,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C115,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C116,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C117,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C118,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C119,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C120,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C121,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C122,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C123,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C124,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C125,1,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C126,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C127,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C128,5,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C129,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C130,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C131,4,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C132,7,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C133,3,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C134,6,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C135,2,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C136,10,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C137,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C138,9,UK,CUSTOMERS_V1,2021-10-15 14:38:02.229 +0100
C139,9,UK,CUSTOMERS_V1,2021-10-15 16:38:02.229 +0100
C139,10,UK,CUSTOMERS_V1,2021-10-15 17:38:02.229 +0100
C139,11,UK,CUSTOMERS_V1,2021-10-15 18:38:02.229 +0100
